iter	Passed	Remaining
0	74	74176
1	148	74049
2	199	66149
3	266	66479
4	345	68851
5	392	65036
6	454	64424
7	516	64107
8	565	62283
9	612	60675
10	670	60316
11	717	59096
12	761	57837
13	831	58539
14	892	58595
15	943	58050
16	993	57436
17	1037	56583
18	1084	56002
19	1133	55534
20	1186	55313
21	1237	55014
22	1294	54967
23	1339	54482
24	1384	53997
25	1438	53900
26	1489	53675
27	1546	53669
28	1593	53366
29	1637	52933
30	1694	52965
31	1741	52692
32	1790	52472
33	1836	52176
34	1884	51953
35	1933	51780
36	1983	51614
37	2029	51381
38	2080	51267
39	2128	51073
40	2173	50836
41	2221	50665
42	2271	50551
43	2315	50312
44	2352	49933
45	2406	49906
46	2453	49754
47	2502	49627
48	2547	49437
49	2592	49261
50	2639	49114
51	2683	48929
52	2728	48755
53	2776	48643
54	2818	48421
55	2869	48376
56	2916	48243
57	2976	48336
58	3020	48179
59	3067	48055
60	3112	47906
61	3160	47810
62	3208	47722
63	3258	47648
64	3304	47531
65	3354	47464
66	3393	47255
67	3445	47219
68	3490	47096
69	3537	46997
70	3579	46830
71	3625	46725
72	3669	46594
73	3716	46509
74	3761	46391
75	3803	46241
76	3848	46133
77	3895	46052
78	3940	45939
79	3986	45842
80	4034	45775
81	4080	45684
82	4127	45605
83	4172	45500
84	4217	45400
85	4265	45337
86	4309	45225
87	4356	45152
88	4404	45082
89	4456	45060
90	4502	44978
91	4548	44891
92	4591	44781
93	4628	44613
94	4662	44414
95	4697	44233
96	4729	44029
97	4762	43831
98	4795	43645
99	4830	43474
100	4875	43393
101	4914	43270
102	4955	43154
103	4995	43040
104	5034	42914
105	5070	42767
106	5105	42612
107	5145	42501
108	5189	42418
109	5241	42409
110	5290	42371
111	5341	42352
112	5393	42333
113	5448	42344
114	5499	42318
115	5542	42236
116	5590	42187
117	5628	42071
118	5663	41926
119	5697	41782
120	5734	41661
121	5769	41523
122	5803	41380
123	5838	41244
124	5876	41138
125	5923	41091
126	5941	40842
127	5976	40714
128	6011	40589
129	6047	40470
130	6082	40345
131	6114	40205
132	6148	40081
133	6183	39959
134	6216	39833
135	6250	39707
136	6283	39582
137	6299	39352
138	6333	39230
139	6366	39107
140	6405	39021
141	6443	38934
142	6482	38847
143	6516	38739
144	6548	38615
145	6584	38512
146	6617	38397
147	6652	38297
148	6683	38174
149	6717	38067
150	6750	37953
151	6785	37855
152	6818	37745
153	6851	37641
154	6891	37568
155	6927	37479
156	6949	37315
157	6983	37215
158	7018	37124
159	7052	37026
160	7088	36940
161	7128	36875
162	7161	36776
163	7194	36675
164	7227	36577
165	7259	36470
166	7291	36371
167	7323	36268
168	7357	36177
169	7402	36142
170	7444	36089
171	7486	36038
172	7529	35992
173	7570	35939
174	7607	35865
175	7651	35824
176	7690	35759
177	7728	35692
178	7773	35653
179	7819	35623
180	7856	35548
181	7892	35474
182	7935	35428
183	7971	35353
184	8004	35262
185	8037	35173
186	8070	35086
187	8104	35005
188	8136	34915
189	8170	34830
190	8204	34752
191	8240	34679
192	8274	34597
193	8306	34509
194	8338	34423
195	8384	34392
196	8423	34336
197	8467	34295
198	8502	34224
199	8541	34165
200	8577	34097
201	8612	34024
202	8643	33936
203	8676	33856
204	8714	33797
205	8752	33736
206	8789	33673
207	8836	33647
208	8875	33592
209	8912	33527
210	8955	33486
211	8991	33419
212	9030	33367
213	9069	33312
214	9103	33238
215	9139	33172
216	9176	33112
217	9214	33054
218	9251	32994
219	9287	32929
220	9321	32855
221	9356	32789
222	9394	32731
223	9431	32673
224	9469	32617
225	9502	32542
226	9539	32483
227	9577	32428
228	9614	32369
229	9648	32302
230	9685	32243
231	9720	32179
232	9755	32112
233	9790	32048
234	9824	31982
235	9863	31930
236	9897	31862
237	9936	31813
238	9979	31774
239	10016	31718
240	10049	31648
241	10087	31596
242	10121	31529
243	10153	31460
244	10196	31421
245	10233	31366
246	10266	31298
247	10306	31251
248	10343	31195
249	10380	31142
250	10422	31100
251	10456	31038
252	10492	30978
253	10529	30926
254	10564	30863
255	10600	30807
256	10638	30757
257	10674	30699
258	10714	30652
259	10751	30599
260	10784	30536
261	10821	30483
262	10854	30416
263	10887	30352
264	10918	30283
265	10949	30212
266	10983	30154
267	11016	30090
268	11053	30037
269	11088	29979
270	11122	29921
271	11156	29860
272	11192	29804
273	11229	29753
274	11263	29693
275	11300	29642
276	11336	29590
277	11369	29528
278	11404	29471
279	11444	29429
280	11479	29373
281	11514	29316
282	11553	29271
283	11591	29222
284	11632	29184
285	11674	29146
286	11718	29113
287	11761	29076
288	11823	29088
289	11868	29057
290	11908	29013
291	11945	28962
292	11984	28918
293	12024	28876
294	12068	28841
